date,strategy_name,tenor,trade_id,leg_id,symbol,instrument,expiry_dt,strike_pr,option_typ,side,qty_lots,lot_size,units,entry_date,exit_date,entry_price,settle_used,settle_prev_used,mtm_pnl,gap_risk_pnl_proxy,gap_method,price_method,rate_91d,rate_182d,rate_364d,vix_close,contracts,open_int,chg_in_oi
2025-01-22,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250123|20250117,short_straddle|NIFTY|WEEKLY|20250123|20250117::L000005,NIFTY,OPTIDX,2025-01-23,23200.0,CE,-1,1,75.0,-75.0,2025-01-17,2025-01-23,183.8,46.95,72.35,1904.9999999999993,5426.25,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.066,0.0667,0.0659199999999999,16.77,4596159.0,7578900.0,2128200.0
2025-01-22,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250123|20250117,short_straddle|NIFTY|WEEKLY|20250123|20250117::L000006,NIFTY,OPTIDX,2025-01-23,23200.0,PE,-1,1,75.0,-75.0,2025-01-17,2025-01-23,146.9,81.9,191.5,8220.0,6798.750000000109,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.066,0.0667,0.0659199999999999,16.77,1866684.0,4340025.0,693000.0
2025-01-23,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250123|20250117,short_straddle|NIFTY|WEEKLY|20250123|20250117::L000005,NIFTY,OPTIDX,2025-01-23,23200.0,CE,-1,1,75.0,-75.0,2025-01-17,2025-01-23,183.8,5.349999999998545,46.95,3120.000000000109,3521.25,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0662,0.0670999999999999,0.0663199999999999,16.7,16694963.0,17487825.0,9908925.0
2025-01-23,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250123|20250117,short_straddle|NIFTY|WEEKLY|20250123|20250117::L000006,NIFTY,OPTIDX,2025-01-23,23200.0,PE,-1,1,75.0,-75.0,2025-01-17,2025-01-23,146.9,0.0,81.9,6142.5,764.9999999999459,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0662,0.0670999999999999,0.0663199999999999,16.7,25586021.0,38414775.0,34074750.0
2025-01-24,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000007,NIFTY,OPTIDX,2025-02-06,23100.0,CE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,363.85,363.85,363.85,-0.0,20996.24999999989,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0661,0.067,0.06604,16.75,9026.0,230475.0,71625.0
2025-01-24,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000008,NIFTY,OPTIDX,2025-02-06,23100.0,PE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,299.15,299.15,299.15,-0.0,22436.25,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0661,0.067,0.06604,16.75,19783.0,245625.0,78450.0
2025-01-27,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000007,NIFTY,OPTIDX,2025-02-06,23100.0,CE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,363.85,231.9,363.85,9896.250000000002,27288.75,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0661,0.0670999999999999,0.06562,18.13,18531.0,410925.0,180450.0
2025-01-27,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000008,NIFTY,OPTIDX,2025-02-06,23100.0,PE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,299.15,445.9,299.15,-11006.25,10447.500000000107,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0661,0.0670999999999999,0.06562,18.13,10057.0,269250.0,23625.0
2025-01-28,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000007,NIFTY,OPTIDX,2025-02-06,23100.0,CE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,363.85,286.4,231.9,-4087.4999999999977,17392.5,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0658,0.0668,0.06518,18.2,35338.0,577650.0,166725.0
2025-01-28,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000008,NIFTY,OPTIDX,2025-02-06,23100.0,PE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,299.15,364.55,445.9,6101.249999999997,22976.250000000055,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0658,0.0668,0.06518,18.2,22249.0,440400.0,171150.0
